CONDITION_CODE_ID,CODE_TEXT,DETAIL_CODE_TXT,ROW_STATUS_IND
d5555292-ea53-2723-e053-0100007f945f,No Conditions Found,,A
d5555292-ea54-2723-e053-0100007f945f,Wear,,A
d5555292-ea55-2723-e053-0100007f945f,Corrosion,,A
d5555292-ea56-2723-e053-0100007f945f,FOD,,I
d5555292-ea57-2723-e053-0100007f945f,Erosion,,A
d5555292-ea58-2723-e053-0100007f945f,Rubs/Rubbed,,A
d5555292-ea59-2723-e053-0100007f945f,Chipped/Nicked,,A
d5555292-ea5a-2723-e053-0100007f945f,Dirty,,A
d5555292-ea5b-2723-e053-0100007f945f,Spalling,,A
d5555292-ea5c-2723-e053-0100007f945f,Holes,,A
d5555292-ea5d-2723-e053-0100007f945f,Missing Coating,,A
d5555292-ea5e-2723-e053-0100007f945f,Bent/Twisted/Rolled Over,,A
d5555292-ea5f-2723-e053-0100007f945f,Cracks/Cracked,,A
d5555292-ea60-2723-e053-0100007f945f,Burns/Burned,,A
d5555292-ea61-2723-e053-0100007f945f,Coking,,A
d5555292-ea62-2723-e053-0100007f945f,Coated With Metal,,A
d5555292-ea63-2723-e053-0100007f945f,Oxidation,,A
d5555292-ea64-2723-e053-0100007f945f,Pitting,,A
d5555292-ea65-2723-e053-0100007f945f,Dented,,A
d5555292-ea66-2723-e053-0100007f945f,Missing Part/Piece,,A
d5555292-ea67-2723-e053-0100007f945f,Coated With Glass,,A
d5555292-ea68-2723-e053-0100007f945f,TBC Condition,,I
d5555292-ea69-2723-e053-0100007f945f,Plugged/Clogged,,A
d5555292-ea6a-2723-e053-0100007f945f,Sealant Distress,,A
d5555292-ea6b-2723-e053-0100007f945f,Fractured,,A
d5555292-ea6c-2723-e053-0100007f945f,Stripped,,I
d5555292-ea6d-2723-e053-0100007f945f,Discolored,,A
d5555292-ea6e-2723-e053-0100007f945f,Bearing Failure,,I
d5555292-ea6f-2723-e053-0100007f945f,Leaking Fuel,,A
d5555292-ea70-2723-e053-0100007f945f,Leaking Oil,,A
d5555292-ea71-2723-e053-0100007f945f,Torn,,A
d5555292-ea72-2723-e053-0100007f945f,Loose,,A
d5555292-ea73-2723-e053-0100007f945f,Fretting,,A
d5555292-ea74-2723-e053-0100007f945f,Scored/Scratched,,A
d5555292-ea75-2723-e053-0100007f945f,Elongated/Warped,,A
d5555292-ea76-2723-e053-0100007f945f,Missing Sealant,,A
d5555292-ea77-2723-e053-0100007f945f,Binding/Locked,,A
d5555292-ea78-2723-e053-0100007f945f,Squared,,I
d5555292-ea79-2723-e053-0100007f945f,Overheated,,A
d5555292-ea7a-2723-e053-0100007f945f,Melted,,A
d5555292-ea7b-2723-e053-0100007f945f,Life Limit,,A
d5555292-ea7c-2723-e053-0100007f945f,Standard Measurement,,A
d5555292-ea7d-2723-e053-0100007f945f,,,I
d5555292-ea7e-2723-e053-0100007f945f,Short Wires,,A
d5555292-ea7f-2723-e053-0100007f945f,Grooved/Grooves,,A
d5555292-ea80-2723-e053-0100007f945f,Chaffed,,A
d5555292-ea81-2723-e053-0100007f945f,Wrong Configuration,,I
d5555292-ea82-2723-e053-0100007f945f,Adhesive Bond Separation,,I
d5555292-ea83-2723-e053-0100007f945f,Adhesive Squeeze Out,,I
d5555292-ea84-2723-e053-0100007f945f,Bond Surface Damaged,,A
d5555292-ea85-2723-e053-0100007f945f,Bonding Prep Incorrect,,I
d5555292-ea86-2723-e053-0100007f945f,Buckled/Buckling,,A
d5555292-ea87-2723-e053-0100007f945f,Burrs,,A
d5555292-ea88-2723-e053-0100007f945f,Carbon Build-Up,,I
d5555292-ea89-2723-e053-0100007f945f,Damaged,,I
d5555292-ea8a-2723-e053-0100007f945f,Debonded,,A
d5555292-ea8b-2723-e053-0100007f945f,Flatness,,I
d5555292-ea8c-2723-e053-0100007f945f,Gouges/Gouged,,A
d5555292-ea8d-2723-e053-0100007f945f,Grinding/Honing/Polishing Marks,,A
d5555292-ea8e-2723-e053-0100007f945f,Incorrect ID on Part,,A
d5555292-ea8f-2723-e053-0100007f945f,Loose Insert,,A
d5555292-ea90-2723-e053-0100007f945f,Loose Pin Plugs,,A
d5555292-ea91-2723-e053-0100007f945f,Loose Rivets,,A
d5555292-ea92-2723-e053-0100007f945f,NDI Indications,,A
d5555292-ea93-2723-e053-0100007f945f,Reworked,,I
d5555292-ea94-2723-e053-0100007f945f,Scuffs/Scuffed,,A
d5555292-ea95-2723-e053-0100007f945f,Shifted/Rotated/Misaligned,,A
d5555292-ea96-2723-e053-0100007f945f,Split Line Mismatch,,A
d5555292-ea97-2723-e053-0100007f945f,Surface Finish Unacceptable,,A
d5555292-ea98-2723-e053-0100007f945f,Surface Taper Unacceptable,,A
d5555292-ea99-2723-e053-0100007f945f,Thread Damage,,A
d5555292-ea9a-2723-e053-0100007f945f,Waviness,,I
d5555292-ea9b-2723-e053-0100007f945f,Wind/Storm Damaged,,I
d5555292-ea9c-2723-e053-0100007f945f,Low Power or Torque,,I
d5555292-ea9d-2723-e053-0100007f945f,No Visual Material Defect,,I
d5555292-ea9e-2723-e053-0100007f945f,Returned for Recap/Reset,,I
d5555292-ea9f-2723-e053-0100007f945f,Internal Failure,,A
d5555292-eaa0-2723-e053-0100007f945f,Torque Error,,I
d5555292-eaa1-2723-e053-0100007f945f,Blade Strike,,I
d5555292-eaa2-2723-e053-0100007f945f,Overspeed,,I
d5555292-eaa3-2723-e053-0100007f945f,Compressor Stall,,I
d5555292-eaa4-2723-e053-0100007f945f,Handling Damage,,I
d5555292-eaa5-2723-e053-0100007f945f,Metal on Magnetic Plug,,A
d5555292-eaa6-2723-e053-0100007f945f,Inconclusive,,I
d5555292-eaa7-2723-e053-0100007f945f,Battle Damage,,I
d5555292-eaa8-2723-e053-0100007f945f,Aircraft Mishap,,I
d5555292-eaa9-2723-e053-0100007f945f,Failed Visual Field Inspection,,I
d5555292-eaaa-2723-e053-0100007f945f,No Defect - Return Caused by Another Module,,I
d5555292-eaab-2723-e053-0100007f945f,Leaking Grease,,A
d5555292-eaac-2723-e053-0100007f945f,Maintenance Induced Failure,,I
d5555292-eaad-2723-e053-0100007f945f,Oil Pressure Incorrect,,A
d5555292-eaae-2723-e053-0100007f945f,Over Torque,,I
d5555292-eaaf-2723-e053-0100007f945f,AOAP - Oil Sample Abnormal,,I
d5555292-eab0-2723-e053-0100007f945f,Overhaul Limit,,A
d5555292-eab1-2723-e053-0100007f945f,Excessive Vibration,,A
d5555292-eab2-2723-e053-0100007f945f,Aircraft Damage,,I
d5555292-eab3-2723-e053-0100007f945f,Flatness Unacceptable,,A
d5555292-eab4-2723-e053-0100007f945f,Wavy Plates,,I
d5555292-eab5-2723-e053-0100007f945f,Thread Damaged,,I
d5555292-eab6-2723-e053-0100007f945f,Damaged Coating,,A
d5555292-eab7-2723-e053-0100007f945f,NO CAUSE FOR RETURN,,I
d5555292-eab8-2723-e053-0100007f945f,LEAKING FLUID,,I
d5555292-eab9-2723-e053-0100007f945f,Bonding Prep,,I
